"","V1","V2"
"1",3.92670407,2.64759888
"2",-2.33048071,-0.81627938
"3",-4.85832276,-5.72403137
"4",1.95998592,0.04747615
"5",-0.43972737,-4.24156123
"6",-2.70563325,-7.59122784
"7",2.92574256,3.33909569
"8",3.87814751,6.7505071
"9",-2.52489141,-0.84311657
"10",1.74590464,4.2812789
"11",-4.06991179,-4.4141597
"12",0.84012606,2.29524585
"13",-0.56170517,-3.21205831
"14",2.84344303,4.18452874
"15",3.11084836,3.66221478
"16",1.91652781,2.78664632
"17",1.2406743,3.5772847
"18",2.7005608,10.06257052
"19",4.01653946,10.75298768
"20",1.19308713,0.90615474
"21",2.44223324,1.90052051
"22",-1.61503088,-1.6643143
"23",3.6948135,-1.6861009
"24",2.07018962,-5.91624393
"25",2.0208975,0.99665747
"26",0.83481382,5.4183424
"27",1.44586084,-0.40340949
"28",1.20524857,5.81894847
"29",1.51496434,3.37124409
"30",0.06133578,-4.26584128
"31",-4.84827095,-10.75271612
"32",2.44977553,3.69745056
"33",4.55040666,7.75711383
"34",1.21709433,-3.00709376
"35",5.4069905,4.93609027
"36",-2.54873859,-3.787201
"37",3.72536208,6.3226772
"38",0.54105796,-5.64273356
"39",-5.43839809,-7.06975665
"40",5.18967322,1.7490358
"41",4.95603241,8.635159
"42",4.63932427,2.33156526
"43",7.65874884,9.29364687
"44",-5.72423861,-1.61818302
"45",4.80637372,5.63142548
"46",-3.22547442,-8.20496716
"47",3.90518504,0.50002987
"48",1.86219433,1.09178582
"49",0.10582716,-1.07181348
"50",6.23278903,8.75431668
"51",4.7072399,5.11078556
"52",0.34272956,1.2007289
"53",-1.02731916,-4.2240417
"54",4.33753278,9.33901336
"55",0.03111618,0.4632305
"56",-16.62503573,-21.92512391
"57",3.97885471,11.49516863
"58",6.78552349,2.9996214
"59",5.69553948,6.78450801
"60",7.71206682,12.22539193
"61",3.2070641,10.21974187
"62",-2.46220351,-5.9869284
"63",3.89688785,12.78140099
"64",1.76306486,6.38115222
"65",-3.53632421,-4.7807636
"66",5.06137686,8.73816721
"67",-3.53519744,-1.53231983
"68",-1.90283675,5.41216931
"69",-2.54655421,-2.88542841
"70",3.85615188,10.47915002
"71",3.63409054,10.82574708
"72",9.75479521,16.93645248
"73",-4.83117625,-0.69995667
"74",2.90380609,15.91009419
"75",3.82397828,-2.98171268
"76",-6.45137781,-17.06131019
"77",-5.08712293,-12.18635617
"78",5.19073696,16.94839843
"79",-2.53089011,-7.93024496
"80",6.15036353,14.78038896
"81",-5.84708876,-10.25417492
"82",-0.82048211,-12.19078838
"83",-11.71065812,-26.51730222
"84",2.1564888,6.52516368
"85",2.76751644,1.67180416
"86",-10.24214404,-22.61619191
"87",-8.84161009,-23.94040367
"88",12.06687524,19.0282885
"89",0.23469865,-3.57649912
"90",-0.65065573,-11.19311909
"91",-5.39932906,-13.36661023
"92",-5.22087084,-15.10994731
"93",-10.37836022,-23.94610591
"94",2.6288369,15.68607237
"95",5.75676617,10.00690578
"96",2.07200752,0.01861309
"97",-1.60537242,-7.06579239
"98",-2.50126884,-10.80461355
"99",2.24747676,4.75810268
"100",-6.00599452,-10.2733745
"101",-0.49649931,-7.13687313
"102",-6.5602266,-16.37565909
"103",-8.63037497,-7.77480883
"104",-0.04259396,-3.71392416
"105",-10.26085977,-14.69675717
"106",8.24590004,13.96299673
"107",4.83684118,13.48573121
"108",-5.7832214,-9.00858074
"109",-3.33069179,-0.6360189
"110",-0.82456276,-1.54886517
"111",1.73950487,1.80773149
"112",7.23176297,4.97737788
"113",3.48935011,7.06602213
"114",0.94714694,1.26386946
"115",2.3977011,2.70543732
"116",1.60398836,3.73190342
"117",-1.8021481,-1.55509919
"118",5.55897751,5.91609349
"119",0.58601643,2.27753758
"120",5.52014288,1.82369758
